name,price,score
1604 - Ab Bailén Apartment 1-2a,819,6.9
Petit Palace Museum,279,8.5
Raval Rooms,264,6.9
Hostal Benidorm,215,8.1
Hotel Lyon,185,7.4
Hostal Bcn Ramblas,200,7.4
Hotel Barcelona Centro,163,8.2
Hotel Santa Marta Barcelona,224,7.1
Coronado,361,7.4
Ella Hostel,222,8.8
Hostal Lleida,189,7.2
Rodamón Barcelona,168,9.2
Hotel Via Augusta,210,8.7
Hotel Barcelona Go,214,8.4
Ainb Eixample-Miro Apartments,411,7.3
Fira Apartments By Gaiarooms,353,8.2
MiMi Las Ramblas,920,6.5
Nice Apartment Close To Park Guell 1,393,6.7
Fabrizzio's Petit,430,9.3
The Guest House Bcn,442,6.9
Apartamento Ganduxer,133,8.7
Mercedes Heritage Apartments,227,9.2
Mesón Castilla Atiram,189,8.0
Residencia Lausanne,159,7.4
Bed And Bike Barcelona,240,8.8
Hostal Ruta De Francia,504,7.0
Pension Aris,176,7.8
Hotel Catalonia Gran Vía Bcn,157,9.7
Fontanella By Bcn Urban Rooms,258,8.8
Uma Suites Pau Claris,237,8.8
Bcn Design,149,7.6
Jardinets Guest House,275,6.3
My Space Barcelona Gracia Pool Terrace,957,5.0
Barcelona Center,438,8.8
HOTEL PELAYO,317,7.4
Hostal Bedmates,166,7.7
Four Points by Sheraton Barcelona Diagonal,176,9.2
Hostel Studio,171,8.1
Cotton House Hotel Autograph Collection,382,9.2
New York,159,7.6
Plaza Goya Rooms,150,8.6
Apartment Barcelona Rentals - Private Pool And Garden Center,895,7.1
Hostal Europa,90,6.7
Jam Hostel Barcelona,213,9.2
Friends Barcelona,165,7.9
Hostal Easy Sants - Adults Only,398,7.6
Feetup Yellow Nest,153,8.4
Centre Esplai Hostel,227,7.2
Apartamentos Dv,198,8.6
Factory Apartments Barcelona,180,8.4
Ramblas Barcelona,373,8.6
Casanova Guest House,273,7.0
El Palauet Royal Suites,247,9.6
mSB Gracia Pool Flats,110,9.1
W Barcelona,100,8.9
Hotel Catalonia Barcelona Golf,170,8.0
Condestable,467,7.1
Barcelona Atiram Hotels,294,7.2
The Barcelona Edition,199,9.4
Sun & Moon,1083,7.5
Nh Barcelona Stadium,479,8.6
AC Hotel Barcelona Forum by Marriott,630,8.4
Eco Boutique Hostal Grau,219,9.1
Ibis Barcelona Centro Sagrada Familia,351,8.7
Hostel One Sants,745,9.5
Executive Class Apartments,785,5.8
Antiga Casa Buenavista,402,9.8
Yurbban Passage Hotel & Spa,449,9.6
Pensión Portugal,84,6.4
Hotel Suizo,4727,8.4
Hotel Del Mar,205,8.3
Alba Hotel,279,7.6
Hostal Barcelona,287,6.7
